,Name,Address,Price,Rating,Amenities
0,OYO 47457 Hotel Amber Palace,"Tyagi Rd, Race Course, Dehradun",₹1602,(130 Ratings),"Reception, Power backup, Card Payment"
1,OYO 47457 Hotel Amber Palace,"Tyagi Rd, Race Course, Dehradun",₹1602,(130 Ratings),"Reception, Power backup, Card Payment"
2,OYO 47457 Hotel Amber Palace,"Tyagi Rd, Race Course, Dehradun",₹1602,(130 Ratings),"Reception, Power backup, Card Payment"
3,OYO 47457 Hotel Amber Palace,"Tyagi Rd, Race Course, Dehradun",₹1602,(130 Ratings),"Reception, Power backup, Card Payment"
4,CAPITAL O75263 Mayank Residency,"Near Ashirwad Enclave, Kanwali Road, Dehradun",₹1305,(289 Ratings),"Parking Facility, Fan, Geyser"
5,CAPITAL O75263 Mayank Residency,"Near Ashirwad Enclave, Kanwali Road, Dehradun",₹1305,(289 Ratings),"Parking Facility, Fan, Geyser"
6,CAPITAL O75263 Mayank Residency,"Near Ashirwad Enclave, Kanwali Road, Dehradun",₹1305,(289 Ratings),"Parking Facility, Fan, Geyser"
7,CAPITAL O75263 Mayank Residency,"Near Ashirwad Enclave, Kanwali Road, Dehradun",₹1305,(289 Ratings),"Parking Facility, Fan, Geyser"
8,OYO 9978 Hotel Calista,"Near saharanpur chowk, road, Dehradun",₹1425,(449 Ratings),"Parking Facility, Free Wifi, Power backup"
9,OYO 9978 Hotel Calista,"Near saharanpur chowk, road, Dehradun",₹1425,(449 Ratings),"Parking Facility, Free Wifi, Power backup"
10,OYO 9978 Hotel Calista,"Near saharanpur chowk, road, Dehradun",₹1425,(449 Ratings),"Parking Facility, Free Wifi, Power backup"
11,OYO 9978 Hotel Calista,"Near saharanpur chowk, road, Dehradun",₹1425,(449 Ratings),"Parking Facility, Free Wifi, Power backup"
12,SPOT ON 46687 Hotel Prabhu,"Near Prince Chowk, Tyagi Road, Dehradun",₹856,(847 Ratings),"AC, TV, AC"
13,SPOT ON 46687 Hotel Prabhu,"Near Prince Chowk, Tyagi Road, Dehradun",₹856,(847 Ratings),"AC, TV, AC"
14,SPOT ON 46687 Hotel Prabhu,"Near Prince Chowk, Tyagi Road, Dehradun",₹856,(847 Ratings),"AC, TV, AC"
15,SPOT ON 46687 Hotel Prabhu,"Near Prince Chowk, Tyagi Road, Dehradun",₹856,(847 Ratings),"AC, TV, AC"
16,Collection O 17407 The Green Majestic,"Near State Bank ATM, Rithamandi, Dehradun",₹1411,(412 Ratings),"Parking Facility, Reception, Free Wifi"
17,Collection O 17407 The Green Majestic,"Near State Bank ATM, Rithamandi, Dehradun",₹1411,(412 Ratings),"Parking Facility, Reception, Free Wifi"
18,Collection O 17407 The Green Majestic,"Near State Bank ATM, Rithamandi, Dehradun",₹1411,(412 Ratings),"Parking Facility, Reception, Free Wifi"
19,Collection O 17407 The Green Majestic,"Near State Bank ATM, Rithamandi, Dehradun",₹1411,(412 Ratings),"Parking Facility, Reception, Free Wifi"
20,Collection O 50141 Gk Residency,"Near prince chowk, Dhamawala Mohalla, Dehradun",₹1781,(488 Ratings),"Parking Facility, Reception, Free Wifi"
21,Collection O 50141 Gk Residency,"Near prince chowk, Dhamawala Mohalla, Dehradun",₹1781,(488 Ratings),"Parking Facility, Reception, Free Wifi"
22,Collection O 50141 Gk Residency,"Near prince chowk, Dhamawala Mohalla, Dehradun",₹1781,(488 Ratings),"Parking Facility, Reception, Free Wifi"
23,Collection O 50141 Gk Residency,"Near prince chowk, Dhamawala Mohalla, Dehradun",₹1781,(488 Ratings),"Parking Facility, Reception, Free Wifi"
24,Capital O 2667 Hotel Kolam,"Near Prince Chowk, Raja Road, Dehradun",₹1627,(221 Ratings),"Parking Facility, Free Wifi, Geyser"
25,Capital O 2667 Hotel Kolam,"Near Prince Chowk, Raja Road, Dehradun",₹1627,(221 Ratings),"Parking Facility, Free Wifi, Geyser"
26,Capital O 2667 Hotel Kolam,"Near Prince Chowk, Raja Road, Dehradun",₹1627,(221 Ratings),"Parking Facility, Free Wifi, Geyser"
27,Capital O 2667 Hotel Kolam,"Near Prince Chowk, Raja Road, Dehradun",₹1627,(221 Ratings),"Parking Facility, Free Wifi, Geyser"
28,Capital O 9905 Hotel Doon Star,"Near Doon Darbar, Dhamawala Mohalla, Dehradun",₹1490,(230 Ratings),"Parking Facility, Fan, Power backup"
29,Capital O 9905 Hotel Doon Star,"Near Doon Darbar, Dhamawala Mohalla, Dehradun",₹1490,(230 Ratings),"Parking Facility, Fan, Power backup"
30,Capital O 9905 Hotel Doon Star,"Near Doon Darbar, Dhamawala Mohalla, Dehradun",₹1490,(230 Ratings),"Parking Facility, Fan, Power backup"
31,Capital O 9905 Hotel Doon Star,"Near Doon Darbar, Dhamawala Mohalla, Dehradun",₹1490,(230 Ratings),"Parking Facility, Fan, Power backup"
32,OYO 14092 Green Comfort,"Raja Road, Near Prince Chowk, Dehradun",₹1216,(459 Ratings),"Parking Facility, Free Wifi, Geyser"
33,OYO 14092 Green Comfort,"Raja Road, Near Prince Chowk, Dehradun",₹1216,(459 Ratings),"Parking Facility, Free Wifi, Geyser"
34,OYO 14092 Green Comfort,"Raja Road, Near Prince Chowk, Dehradun",₹1216,(459 Ratings),"Parking Facility, Free Wifi, Geyser"
